###########################
# CHC nuclear Attack subs
###########################
# Model 1950
attack_submarine.0 = {
	radarsystem_surfacesearch = 3
	sonarsystem = 1
	towed_sonarsystem = 0
	radarsystem_3dsearch = 0
	naval_combat_system = 0
	propulsion_steam = 0	
	propulsion_gas = 0	
	conventionalnavalgun = 0
	closedefense = 5
	antishipmissile_shortrange = 1
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0
	landattackmissile = 0
	antisub_torpedorocket = 0
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 3	
	helicopterplatform = 0
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0	
	hullmaxslots = 0
	hullmaxsize = 51
	wikipage = /wiki/Anshan_class_destroyer
}
# Luda I-class
missile_destroyer.3 = {
	unit_missiledestroyer = 4
	radarsystem_airsearch = 3
	radarsystem_surfacesearch = 4
	sonarsystem = 2
	towed_sonarsystem = 0
	radarsystem_3dsearch = 0
	naval_combat_system = 0
	propulsion_steam = 2	
	propulsion_gas = 0	
	conventionalnavalgun = 6
	closedefense = 5
	antishipmissile_shortrange = 1
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0
	landattackmissile = 0
	antisub_torpedorocket = 3
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0	
	helicopterplatform = 0
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0	
	hullmaxslots = 0
	hullmaxsize = 27	
	wikipage = /wiki/Type_051_destroyer
}
# Model 1975
missile_destroyer.4 = {
	unit_missiledestroyer = 5
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 4
	sonarsystem = 4
	towed_sonarsystem = 0
	radarsystem_3dsearch = 1
	naval_combat_system = 0
	propulsion_steam = 4	
	propulsion_gas = 0	
	conventionalnavalgun = 7
	closedefense = 7
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 5
	antiairmissile_shortrange = 7
	antishipmissile_shortrange_supersonic = 0
	landattackmissile = 0
	antisub_torpedorocket = 7
	antisub_missile = 5
	launcher_torpedotubes_533_650 = 7	
	helicopterplatform = 3	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0		
	hullmaxslots = 0
	hullmaxsize = 35
}

# Model 1980
missile_destroyer.5 = {
	unit_missiledestroyer = 6
	radarsystem_airsearch = 5
	radarsystem_surfacesearch = 5
	sonarsystem = 5
	towed_sonarsystem = 1
	radarsystem_3dsearch = 2
	naval_combat_system = 0
	propulsion_steam = 5	
	propulsion_gas = 0	
	conventionalnavalgun = 8
	closedefense = 8
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 6
	antiairmissile_shortrange = 8
	antishipmissile_shortrange_supersonic = 0	
	landattackmissile = 0
	antisub_torpedorocket = 8
	antisub_missile = 6
	launcher_torpedotubes_533_650 = 8	
	helicopterplatform = 3	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0		
	hullmaxslots = 0
	hullmaxsize = 34
}
# Luda II-class
missile_destroyer.6 = {
	unit_missiledestroyer = 7
	radarsystem_airsearch = 4
	radarsystem_surfacesearch = 5
	sonarsystem = 4
	towed_sonarsystem = 0
	radarsystem_3dsearch = 0
	naval_combat_system = 0
	propulsion_steam = 2	
	propulsion_gas = 0	
	conventionalnavalgun = 6
	closedefense = 8
	antishipmissile_shortrange = 3
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 0
	antiairmissile_shortrange = 0
	antishipmissile_shortrange_supersonic = 0
	landattackmissile = 0
	antisub_torpedorocket = 2
	antisub_missile = 0
	launcher_torpedotubes_533_650 = 0
	helicopterplatform = 5
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0	
	hullmaxslots = 0
	hullmaxsize = 28
	wikipage = /wiki/Type_051_destroyer
}
# Model 1990
missile_destroyer.7 = {
	unit_missiledestroyer = 8
	radarsystem_airsearch = 6
	radarsystem_surfacesearch = 6
	sonarsystem = 6
	towed_sonarsystem = 2
	radarsystem_3dsearch = 3
	naval_combat_system = 1
	propulsion_steam = 6	
	propulsion_gas = 0	
	conventionalnavalgun = 10
	closedefense = 10
	antishipmissile_shortrange = 0
	antishipmissile_longrange = 0	
	antiairmissile_mediumrange = 8
	antiairmissile_shortrange = 10
	antishipmissile_shortrange_supersonic = 0	
	landattackmissile = 0
	antisub_torpedorocket = 10
	antisub_missile = 8
	launcher_torpedotubes_533_650 = 10	
	helicopterplatform = 5	
	joint_fleetsupply = 0
	joint_selfsustainability = 0
	joint_warliketraining = 0
	naval_combat_system = 0
	battlegroup_optimalcoveragepositioning = 0
	carriergroup_extendedfleetsupply = 0
	escort_submarinehunting = 0
	escort_swiftpatrolswarm = 0
	escort_responsereadygroup = 0		
	hullmaxslots = 0
	hullmaxsize = 42
}
