#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
PROV4088;Payturma;;;;;;;;;;;;;x
PROV4089;Seyakha;;;;;;;;;;;;;x
PROV4090;Ust Kara;;;;;;;;;;;;;x
PROV4091;Vostochnaya-Kambalnitsa;;;;;;;;;;;;;x
PROV4092;Krasnoshchelye;;;;;;;;;;;;;x
PROV4093;Pieljekaise;;;;;;;;;;;;;x
PROV4094;Natal;;;;;;;;;;;;;x
PROV4095;Joao Pessoa;;;;;;;;;;;;;x
PROV4096;Campina Grande;;;;;;;;;;;;;x
PROV4097;Porto Calvo;;;;;;;;;;;;;x
PROV4098;Maceio;;;;;;;;;;;;;x
PROV4099;Bornholm;;;;;;;;;;;;;x
PROV4100;Boganida;;;;;;;;;;;;;x
PROV4101;Tadibeyakha;;;;;;;;;;;;;x
PROV4102;Yary;;;;;;;;;;;;;x
PROV4103;Chalmny-Varre;;;;;;;;;;;;;x
PROV4104;Jokkmokk;;;;;;;;;;;;;x
PROV4105;Recife;;;;;;;;;;;;;x
PROV4106;Kargo;;;;;;;;;;;;;x
PROV4107;Yuribey;;;;;;;;;;;;;x
PROV4108;Bugrino;;;;;;;;;;;;;x
PROV4109;Ostrovnoy;;;;;;;;;;;;;x
PROV4110;Gällivare;;;;;;;;;;;;;x
PROV4111;Mezenskiy;;;;;;;;;;;;;x
PROV4112;Gyda;;;;;;;;;;;;;x
PROV4113;Ozero Yambuto;;;;;;;;;;;;;x
PROV4114;Lumbovka;;;;;;;;;;;;;x
PROV4115;Övertorneå;;;;;;;;;;;;;x
PROV4116;Hemnesberget;;;;;;;;;;;;;x
PROV4117;Polkino;;;;;;;;;;;;;x
PROV4118;Ozero Khucheto;;;;;;;;;;;;;x
PROV4119;Ozero Sakhonto;;;;;;;;;;;;;x
PROV4120;Pello;;;;;;;;;;;;;x
PROV4121;Rana;;;;;;;;;;;;;x
PROV4122;Katyryk;;;;;;;;;;;;;x
PROV4123;Pelyatka;;;;;;;;;;;;;x
PROV4124;Sab'Yakha;;;;;;;;;;;;;x
PROV4125;Khodovarikha;;;;;;;;;;;;;x
PROV4126;Konushin Nos;;;;;;;;;;;;;x
PROV4127;Rovaniemi;;;;;;;;;;;;;x
PROV4128;Storuman;;;;;;;;;;;;;x
PROV4129;Isaveskiy;;;;;;;;;;;;;x
PROV4130;Nasonovsk;;;;;;;;;;;;;x
PROV4131;Napalakovo;;;;;;;;;;;;;x
PROV4132;Vangurey;;;;;;;;;;;;;x
PROV4133;Kiya;;;;;;;;;;;;;x
PROV4134;Kemijarvi;;;;;;;;;;;;;x
PROV4135;Sorsele;;;;;;;;;;;;;x
PROV4136;Khatanga;;;;;;;;;;;;;x
PROV4137;Kazachiy;;;;;;;;;;;;;x
PROV4138;Antipayuta;;;;;;;;;;;;;x
PROV4139;Chernaya;;;;;;;;;;;;;x
PROV4140;Mikulkin Nos;;;;;;;;;;;;;x
PROV4141;Salla;;;;;;;;;;;;;x
PROV4142;Arjeplog;;;;;;;;;;;;;x
PROV4143;Staroletov'ye;;;;;;;;;;;;;x
PROV4144;Kresty;;;;;;;;;;;;;x
PROV4145;Kharvutte;;;;;;;;;;;;;x
PROV4146;Varandey;;;;;;;;;;;;;x
PROV4147;Indiga;;;;;;;;;;;;;x
PROV4148;Kovdor;;;;;;;;;;;;;x
PROV4149;Arvidsjaur;;;;;;;;;;;;;x
PROV4150;Oboynaya;;;;;;;;;;;;;x
PROV4151;Avam;;;;;;;;;;;;;x
PROV4152;Tanama;;;;;;;;;;;;;x
PROV4153;Sinkin;;;;;;;;;;;;;x
PROV4154;Sengeyskiy;;;;;;;;;;;;;x
PROV4155;Vuoriyarvi;;;;;;;;;;;;;x
PROV4156;Luleå;;;;;;;;;;;;;x
PROV4157;Popigay;;;;;;;;;;;;;x
PROV4158;Tungusy;;;;;;;;;;;;;x
PROV4159;Groshilo;;;;;;;;;;;;;x
PROV4160;Karatayka;;;;;;;;;;;;;x
PROV4161;Nizhniy Shar;;;;;;;;;;;;;x
PROV4162;Kandalaksha;;;;;;;;;;;;;x
PROV4163;Haparanda;;;;;;;;;;;;;x
PROV4164;Doruokha;;;;;;;;;;;;;x
PROV4165;Ozero Goldyvul;;;;;;;;;;;;;x
PROV4166;Varngeyakha;;;;;;;;;;;;;x
PROV4167;Kuya;;;;;;;;;;;;;x
PROV4168;Nayan Mar;;;;;;;;;;;;;x
PROV4169;Umba;;;;;;;;;;;;;x
PROV4170;Tornio;;;;;;;;;;;;;x
PROV4171;Praia;;;;;;;;;;;;;x
PROV4172;Saskylakh;;;;;;;;;;;;;x
PROV4173;Boyarka;;;;;;;;;;;;;x
PROV4174;Dudinka;;;;;;;;;;;;;x
PROV4175;Khalmer-Yu;;;;;;;;;;;;;x
PROV4176;Forikha;;;;;;;;;;;;;x
PROV4177;Olenitsa;;;;;;;;;;;;;x
PROV4178;Kemi;;;;;;;;;;;;;x
PROV4179;Khalgannakh;;;;;;;;;;;;;x
PROV4180;Pravaya Boyarka;;;;;;;;;;;;;x
PROV4181;Noril'sk;;;;;;;;;;;;;x
PROV4182;Ostrov Levdiyev;;;;;;;;;;;;;x
PROV4183;Kharyaga;;;;;;;;;;;;;x
PROV4184;Kuzomen;;;;;;;;;;;;;x
PROV4185;Ranua;;;;;;;;;;;;;x
PROV4186;Udzha;;;;;;;;;;;;;x
PROV4187;Bol'shaya Romakhina;;;;;;;;;;;;;x
PROV4188;Chopka;;;;;;;;;;;;;x
PROV4189;Bolshaya Usa;;;;;;;;;;;;;x
PROV4190;Khorey-ver;;;;;;;;;;;;;x
PROV4191;Chavanga;;;;;;;;;;;;;x
PROV4192;Posio;;;;;;;;;;;;;x
PROV4193;Ary-Ongorbu;;;;;;;;;;;;;x
PROV4194;Kheta;;;;;;;;;;;;;x
PROV4195;Ozero Ayan;;;;;;;;;;;;;x
PROV4196;Ust'-Yuribey;;;;;;;;;;;;;x
PROV4197;Nerchey;;;;;;;;;;;;;x
PROV4198;Pyalitsa;;;;;;;;;;;;;x
PROV4199;Kuusamo;;;;;;;;;;;;;x
PROV4200;Ot-Siven;;;;;;;;;;;;;x
PROV4201;Maymecha;;;;;;;;;;;;;x
PROV4202;Gora Kamen';;;;;;;;;;;;;x
PROV4203;Tarkasale;;;;;;;;;;;;;x
PROV4204;Syavta;;;;;;;;;;;;;x
PROV4205;Sosnovka;;;;;;;;;;;;;x
PROV4206;Zasheek;;;;;;;;;;;;;x
PROV4207;Sklad;;;;;;;;;;;;;x
PROV4208;Staryy Kayak;;;;;;;;;;;;;x
PROV4209;Khabarba;;;;;;;;;;;;;x
PROV4210;Novyy Port;;;;;;;;;;;;;x
PROV4211;Vashutkino;;;;;;;;;;;;;x
PROV4212;Katozero;;;;;;;;;;;;;x
PROV4213;Eyekit;;;;;;;;;;;;;x
PROV4214;Otu-Turara;;;;;;;;;;;;;x
PROV4215;Gora Advakit;;;;;;;;;;;;;x
PROV4216;Vorkuta;;;;;;;;;;;;;x
PROV4217;Chkalovskiy;;;;;;;;;;;;;x
PROV4218;Terråk;;;;;;;;;;;;;x
PROV4219;Funchal;;;;;;;;;;;;;x
PROV4220;Palmas;;;;;;;;;;;;;x
PROV4221;Dakar;;;;;;;;;;;;;x
PROV4222;Chekurovka;;;;;;;;;;;;;x
PROV4223;Ozero Khargy;;;;;;;;;;;;;x
PROV4224;Kanty Kakhy;;;;;;;;;;;;;x
PROV4225;Mys Kruglyy;;;;;;;;;;;;;x
PROV4226;Labytnangi;;;;;;;;;;;;;x
PROV4227;Nes;;;;;;;;;;;;;x
PROV4228;Kem;;;;;;;;;;;;;x
PROV4229;English Channel;;;;;;;;;;;;;x
PROV4230;Bir Gandus;;;;;;;;;;;;;x
PROV4231;Nouadhibou;;;;;;;;;;;;;x
PROV4232;Ndegbad;;;;;;;;;;;;;x
PROV4233;Nouamghar;;;;;;;;;;;;;x
PROV4234;Nouakchott;;;;;;;;;;;;;x
PROV4235;Rosso;;;;;;;;;;;;;x
PROV4236;Touba;;;;;;;;;;;;;x
PROV4237;Louga;;;;;;;;;;;;;x
PROV4238;Kaolack;;;;;;;;;;;;;x
PROV4239;Tambacounda;;;;;;;;;;;;;x
PROV4240;Tiksi;;;;;;;;;;;;;x
PROV4241;Kyunkyuy-Rossokha;;;;;;;;;;;;;x
PROV4242;Ozero Labaz;;;;;;;;;;;;;x
PROV4243;Yurkharovo;;;;;;;;;;;;;x
PROV4244;Beloyarsk;;;;;;;;;;;;;x
PROV4245;Vizhas;;;;;;;;;;;;;x
PROV4246;Marsfjäll;;;;;;;;;;;;;x
PROV4247;Dakhla;;;;;;;;;;;;;x
PROV4248;Aargub;;;;;;;;;;;;;x
PROV4249;Buir-Ahmed;;;;;;;;;;;;;x
PROV4250;MacKay Lake;;;;;;;;;;;;;x
PROV4251;Bir Igueni;;;;;;;;;;;;;x
PROV4252;Benichab;;;;;;;;;;;;;x
PROV4253;Agouilal Faye;;;;;;;;;;;;;x
PROV4254;Bareina;;;;;;;;;;;;;x
PROV4255;Kébemer;;;;;;;;;;;;;x
PROV4256;Dahra;;;;;;;;;;;;;x
PROV4257;Kaffrine;;;;;;;;;;;;;x
PROV4258;Ziguinchor;;;;;;;;;;;;;x
PROV4259;Bissau;;;;;;;;;;;;;x
PROV4260;Bolama;;;;;;;;;;;;;x
PROV4261;Kuonamka;;;;;;;;;;;;;x
PROV4262;Ambardakh;;;;;;;;;;;;;x
PROV4263;Messo;;;;;;;;;;;;;x
PROV4264;Khadyta;;;;;;;;;;;;;x
PROV4265;Volokovaya;;;;;;;;;;;;;x
PROV4266;Vilhelmina;;;;;;;;;;;;;x
PROV4267;Cape Bojador;;;;;;;;;;;;;x
PROV4268;Guert Ait Canauin;;;;;;;;;;;;;x
PROV4269;Rayed Uld el Jarrachi;;;;;;;;;;;;;x
PROV4270;Hasi Auhaifrit;;;;;;;;;;;;;x
PROV4271;Awsard;;;;;;;;;;;;;x
PROV4272;Ahmeyine;;;;;;;;;;;;;x
PROV4273;Tabrinkout;;;;;;;;;;;;;x
PROV4274;Lake Nipigon;;;;;;;;;;;;;x
PROV4275;Mougris;;;;;;;;;;;;;x
PROV4276;Bastia;;;;;;;;;;;;;x
PROV4277;Haere Lao;;;;;;;;;;;;;x
PROV4278;Matam;;;;;;;;;;;;;x
PROV4279;Koumpentoum;;;;;;;;;;;;;x
PROV4280;Banjul;;;;;;;;;;;;;x
PROV4281;Bafatá;;;;;;;;;;;;;x
PROV4282;Boke;;;;;;;;;;;;;x
PROV4283;Kamsar;;;;;;;;;;;;;x
PROV4284;Ascension Island;;;;;;;;;;;;;x
PROV4285;Mys Buor-Khaya;;;;;;;;;;;;;x
PROV4286;Kengede;;;;;;;;;;;;;x
PROV4287;Dudypta;;;;;;;;;;;;;x
PROV4288;Nyadayaka;;;;;;;;;;;;;x
PROV4289;Kharvota;;;;;;;;;;;;;x
PROV4290;Kotkino;;;;;;;;;;;;;x
PROV4291;Tetrino;;;;;;;;;;;;;x
PROV4292;Lycksele;;;;;;;;;;;;;x
PROV4293;Laayoune;;;;;;;;;;;;;x
PROV4294;Hasi Andal;;;;;;;;;;;;;x
PROV4295;Aaglet Tinielig;;;;;;;;;;;;;x
PROV4296;Sebjet Agsumal;;;;;;;;;;;;;x
PROV4297;Bir Uld Sidi Emhamed;;;;;;;;;;;;;x
PROV4298;Fderik;;;;;;;;;;;;;x
PROV4299;Agui;;;;;;;;;;;;;x
PROV4300;Atar;;;;;;;;;;;;;x
PROV4301;Faraoun;;;;;;;;;;;;;x
PROV4302;Fi Melhas;;;;;;;;;;;;;x
PROV4303;Aleg;;;;;;;;;;;;;x
PROV4304;Bababe;;;;;;;;;;;;;x
PROV4305;Kaedi;;;;;;;;;;;;;x
PROV4306;Gabou;;;;;;;;;;;;;x
PROV4307;Kolda;;;;;;;;;;;;;x
PROV4308;Koundara;;;;;;;;;;;;;x
PROV4309;Télimélé;;;;;;;;;;;;;x
PROV4310;Fria;;;;;;;;;;;;;x
PROV4311;Conakry;;;;;;;;;;;;;x
PROV4312;Kuogastakh;;;;;;;;;;;;;x
PROV4313;Staraya;;;;;;;;;;;;;x
PROV4314;Kotuy;;;;;;;;;;;;;x
PROV4315;Bol'shaya Kheta;;;;;;;;;;;;;x
PROV4316;Ozero Yarato;;;;;;;;;;;;;x
PROV4317;Nonburg;;;;;;;;;;;;;x
PROV4318;Tova;;;;;;;;;;;;;x
PROV4319;Jörn;;;;;;;;;;;;;x
PROV4320;Tarfaya;;;;;;;;;;;;;x
PROV4321;Al Haggounia;;;;;;;;;;;;;x
PROV4322;Bou Craa;;;;;;;;;;;;;x
PROV4323;Guelta Zemmur;;;;;;;;;;;;;x
PROV4324;Aguelt el Adam;;;;;;;;;;;;;x
PROV4325;Zouerat;;;;;;;;;;;;;x
PROV4326;El Atgane;;;;;;;;;;;;;x
PROV4327;Williston Lake;;;;;;;;;;;;;x
PROV4328;Chinguetti;;;;;;;;;;;;;x
PROV4329;Toungat;;;;;;;;;;;;;x
PROV4330;Moudjeria;;;;;;;;;;;;;x
PROV4331;Kamor;;;;;;;;;;;;;x
PROV4332;Guerou;;;;;;;;;;;;;x
PROV4333;Sélibaby;;;;;;;;;;;;;x
PROV4334;Sadiola;;;;;;;;;;;;;x
PROV4335;Diourbel;;;;;;;;;;;;;x
PROV4336;Kedougou;;;;;;;;;;;;;x
PROV4337;Pita;;;;;;;;;;;;;x
PROV4338;Kindia;;;;;;;;;;;;;x
PROV4339;Makeni;;;;;;;;;;;;;x
PROV4340;Freetown;;;;;;;;;;;;;x
PROV4341;Moyamba;;;;;;;;;;;;;x
PROV4342;Nizhneyansk;;;;;;;;;;;;;x
PROV4343;Dzhelinde;;;;;;;;;;;;;x
PROV4344;Medvezh'ya;;;;;;;;;;;;;x
PROV4345;Plakhino;;;;;;;;;;;;;x
PROV4346;Saleta;;;;;;;;;;;;;x
PROV4347;Gusentsy;;;;;;;;;;;;;x
PROV4348;Ruchi;;;;;;;;;;;;;x
PROV4349;Skellefteå;;;;;;;;;;;;;x
PROV4350;Tan Tan;;;;;;;;;;;;;x
PROV4351;Akhfennir;;;;;;;;;;;;;x
PROV4352;Samara;;;;;;;;;;;;;x
PROV4353;Tifariti;;;;;;;;;;;;;x
PROV4354;Bir Moghrein;;;;;;;;;;;;;x
PROV4355;Taurassine;;;;;;;;;;;;;x
PROV4356;Admamtalmat;;;;;;;;;;;;;x
PROV4357;Tazazmaut el Kbir;;;;;;;;;;;;;x
PROV4358;Tanouchert;;;;;;;;;;;;;x
PROV4359;Tayert Idaou Ali;;;;;;;;;;;;;x
PROV4360;Aouirel Telleski;;;;;;;;;;;;;x
PROV4361;Tidjikja;;;;;;;;;;;;;x
PROV4362;El Grair Enzai;;;;;;;;;;;;;x
PROV4363;Kiffa;;;;;;;;;;;;;x
PROV4364;Waringuel;;;;;;;;;;;;;x
PROV4365;Kayes;;;;;;;;;;;;;x
PROV4366;Dombia;;;;;;;;;;;;;x
PROV4367;Dabia;;;;;;;;;;;;;x
PROV4368;Tougue;;;;;;;;;;;;;x
PROV4369;Dabola;;;;;;;;;;;;;x
PROV4370;Kabala;;;;;;;;;;;;;x
PROV4371;Koidu;;;;;;;;;;;;;x
PROV4372;Kenema;;;;;;;;;;;;;x
PROV4373;Monrovia;;;;;;;;;;;;;x
PROV4374;Polustrov Manyko;;;;;;;;;;;;;x
PROV4375;Sektelyakh;;;;;;;;;;;;;x
PROV4376;Tuguttur;;;;;;;;;;;;;x
PROV4377;Snezhnogorsk;;;;;;;;;;;;;x
PROV4378;Yepoko;;;;;;;;;;;;;x
PROV4379;Kamgort;;;;;;;;;;;;;x
PROV4380;Mayda;;;;;;;;;;;;;x
PROV4381;Saimaa;;;;;;;;;;;;;x
PROV4382;Namsos;;;;;;;;;;;;;x
PROV4383;Westport;;;;;;;;;;;;;x
PROV4384;Tralee;;;;;;;;;;;;;x
PROV4385;Tiznit;;;;;;;;;;;;;x
PROV4386;Guelmim;;;;;;;;;;;;;x
PROV4387;Assa;;;;;;;;;;;;;x
PROV4388;Berm;;;;;;;;;;;;;x
PROV4389;Bir Lehlou;;;;;;;;;;;;;x
PROV4390;Mahbes Ferkik;;;;;;;;;;;;;x
PROV4391;Chott el Djerid;;;;;;;;;;;;;x
PROV4392;Sfariat;;;;;;;;;;;;;x
PROV4393;Lake Sakakawea;;;;;;;;;;;;;x
PROV4394;Iraifia;;;;;;;;;;;;;x
PROV4395;Taurine;;;;;;;;;;;;;x
PROV4396;Ouadane;;;;;;;;;;;;;x
PROV4397;Tamchaket;;;;;;;;;;;;;x
PROV4398;Bou Gara;;;;;;;;;;;;;x
PROV4399;Tintane;;;;;;;;;;;;;x
PROV4400;Fanga;;;;;;;;;;;;;x
PROV4401;Sandare;;;;;;;;;;;;;x
PROV4402;Bamafele;;;;;;;;;;;;;x
PROV4403;Sirakoro;;;;;;;;;;;;;x
PROV4404;Dinguiraye;;;;;;;;;;;;;x
PROV4405;Kouroussa;;;;;;;;;;;;;x
PROV4406;Kissidougou;;;;;;;;;;;;;x
PROV4407;Voinjama;;;;;;;;;;;;;x
PROV4408;Harbel;;;;;;;;;;;;;x
PROV4409;Polustrov Shirokostan;;;;;;;;;;;;;x
PROV4410;Beyenchime;;;;;;;;;;;;;x
PROV4411;Tyumyati;;;;;;;;;;;;;x
PROV4412;Ambar;;;;;;;;;;;;;x
PROV4413;Poyelavayakha;;;;;;;;;;;;;x
PROV4414;Shapkino;;;;;;;;;;;;;x
PROV4415;Mezen;;;;;;;;;;;;;x
PROV4416;Grong;;;;;;;;;;;;;x
PROV4417;Sligo;;;;;;;;;;;;;x
PROV4418;Galway;;;;;;;;;;;;;x
PROV4419;Limerick;;;;;;;;;;;;;x
PROV4420;Dundalk;;;;;;;;;;;;;x
PROV4421;La Coruna;;;;;;;;;;;;;x
PROV4422;Santarém;;;;;;;;;;;;;x
PROV4423;Lisboa;;;;;;;;;;;;;x
PROV4424;El Jadida;;;;;;;;;;;;;x
PROV4425;Essaouira;;;;;;;;;;;;;x
PROV4426;Agadir;;;;;;;;;;;;;x
PROV4427;Tafraoute;;;;;;;;;;;;;x
PROV4428;Fam El Hisn;;;;;;;;;;;;;x
PROV4429;Zag;;;;;;;;;;;;;x
PROV4430;Al Mahbes;;;;;;;;;;;;;x
PROV4431;Fort Ain Ben;;;;;;;;;;;;;x
PROV4432;Cree Lake;;;;;;;;;;;;;x
PROV4433;Sebkha Oued el Ma;;;;;;;;;;;;;x
PROV4434;Steilet Zednes;;;;;;;;;;;;;x
PROV4435;Aguelt Abd el Ma;;;;;;;;;;;;;x
PROV4436;Amaraib el Mabha;;;;;;;;;;;;;x
PROV4437;Aguelt Lehouarine;;;;;;;;;;;;;x
PROV4438;Hassi Adam;;;;;;;;;;;;;x
PROV4439;Tichit;;;;;;;;;;;;;x
PROV4440;Gleib Chouf;;;;;;;;;;;;;x
PROV4441;Ayroun el Atrous;;;;;;;;;;;;;x
PROV4442;Korera-Kore;;;;;;;;;;;;;x
PROV4443;Diema;;;;;;;;;;;;;x
PROV4444;Kita;;;;;;;;;;;;;x
PROV4445;Kangaba;;;;;;;;;;;;;x
PROV4446;Siguiri;;;;;;;;;;;;;x
PROV4447;Kankan;;;;;;;;;;;;;x
PROV4448;Kerouane;;;;;;;;;;;;;x
PROV4449;Macenta;;;;;;;;;;;;;x
PROV4450;Nzérékoré;;;;;;;;;;;;;x
PROV4451;Gbloyee;;;;;;;;;;;;;x
PROV4452;Greenville;;;;;;;;;;;;;x
PROV4453;Muksunnuokha;;;;;;;;;;;;;x
PROV4454;Sukhana;;;;;;;;;;;;;x
PROV4455;Buursaabyt;;;;;;;;;;;;;x
PROV4456;Ozero Kutaramakan;;;;;;;;;;;;;x
PROV4457;Tazovskiy;;;;;;;;;;;;;x
PROV4458;Laya;;;;;;;;;;;;;x
PROV4459;Varyuga;;;;;;;;;;;;;x
PROV4460;Lierne;;;;;;;;;;;;;x
PROV4461;Donegal;;;;;;;;;;;;;x
PROV4462;Roscommon;;;;;;;;;;;;;x
PROV4463;Clonmel;;;;;;;;;;;;;x
PROV4464;Cork;;;;;;;;;;;;;x
PROV4465;Lugo;;;;;;;;;;;;;x
PROV4466;Vigo;;;;;;;;;;;;;x
PROV4467;Porto;;;;;;;;;;;;;x
PROV4468;Coimbra;;;;;;;;;;;;;x
PROV4469;Portalegre;;;;;;;;;;;;;x
PROV4470;Évora;;;;;;;;;;;;;x
PROV4471;Faro;;;;;;;;;;;;;x
PROV4472;Sidi Benour;;;;;;;;;;;;;x
PROV4473;Marrakesh;;;;;;;;;;;;;x
PROV4474;Anezi;;;;;;;;;;;;;x
PROV4475;Tata;;;;;;;;;;;;;x
PROV4476;Rafsa;;;;;;;;;;;;;x
PROV4477;Tindouf;;;;;;;;;;;;;x
PROV4478;Oued el Hamra;;;;;;;;;;;;;x
PROV4479;El Khcheb;;;;;;;;;;;;;x
PROV4480;Lake Claire;;;;;;;;;;;;;x
PROV4481;Tenebdar;;;;;;;;;;;;;x
PROV4482;Dubawnt Lake;;;;;;;;;;;;;x
PROV4483;Oglat Ahmed Degna;;;;;;;;;;;;;x
PROV4484;Tin Bessois;;;;;;;;;;;;;x
PROV4485;Idjafoun;;;;;;;;;;;;;x
PROV4486;Rgueibat Tamokrart;;;;;;;;;;;;;x
PROV4487;Tayert el Rhouibe;;;;;;;;;;;;;x
PROV4488;Awmat es Sail;;;;;;;;;;;;;x
PROV4489;Diguenni;;;;;;;;;;;;;x
PROV4490;Dilli;;;;;;;;;;;;;x
PROV4491;Goumbou;;;;;;;;;;;;;x
PROV4492;Nossombougou;;;;;;;;;;;;;x
PROV4493;Bamako;;;;;;;;;;;;;x
PROV4494;Bougouni;;;;;;;;;;;;;x
PROV4495;Baranama;;;;;;;;;;;;;x
PROV4496;Beyla;;;;;;;;;;;;;x
PROV4497;Danane;;;;;;;;;;;;;x
PROV4498;Toulepleu;;;;;;;;;;;;;x
PROV4499;Fish Town;;;;;;;;;;;;;x
PROV4500;Harper;;;;;;;;;;;;;x
PROV4501;Ozero Soluntakh;;;;;;;;;;;;;x
PROV4502;Solokhut;;;;;;;;;;;;;x
PROV4503;Merkyu;;;;;;;;;;;;;x
PROV4504;Kularamakan;;;;;;;;;;;;;x
PROV4505;Sarevnado;;;;;;;;;;;;;x
PROV4506;Zakharvan;;;;;;;;;;;;;x
PROV4507;Tarasovo;;;;;;;;;;;;;x
PROV4508;Oulu;;;;;;;;;;;;;x
PROV4509;Gäddede;;;;;;;;;;;;;x
PROV4510;Faroyar;;;;;;;;;;;;;x
PROV4511;Londonderry;;;;;;;;;;;;;x
PROV4512;Monaghan;;;;;;;;;;;;;x
PROV4513;Wexford;;;;;;;;;;;;;x
PROV4514;Waterford;;;;;;;;;;;;;x
PROV4515;Ferrol;;;;;;;;;;;;;x
PROV4516;Orense;;;;;;;;;;;;;x
PROV4517;Braganca;;;;;;;;;;;;;x
PROV4518;Castelo Branco;;;;;;;;;;;;;x
PROV4519;Caceres;;;;;;;;;;;;;x
PROV4520;Badajoz;;;;;;;;;;;;;x
PROV4521;Huelva;;;;;;;;;;;;;x
PROV4522;Casablanca;;;;;;;;;;;;;x
PROV4523;Khouribga;;;;;;;;;;;;;x
PROV4524;Tanant;;;;;;;;;;;;;x
PROV4525;Ouarzazate;;;;;;;;;;;;;x
PROV4526;Bouira;;;;;;;;;;;;;x
PROV4527;Smeira;;;;;;;;;;;;;x
PROV4528;Atatfa;;;;;;;;;;;;;x
PROV4529;Aouinet Legraa;;;;;;;;;;;;;x
PROV4530;Erg Iguidi;;;;;;;;;;;;;x
PROV4531;Ayaun Abti el Malek;;;;;;;;;;;;;x
PROV4532;Oudiane el Moullihine;;;;;;;;;;;;;x
PROV4533;Tagou Jalet;;;;;;;;;;;;;x
PROV4534;Oglat Hamoudi;;;;;;;;;;;;;x
PROV4535;El Mreiti;;;;;;;;;;;;;x
PROV4536;El Gouer;;;;;;;;;;;;;x
PROV4537;Zaghouan;;;;;;;;;;;;;x
PROV4538;Agouenit;;;;;;;;;;;;;x
PROV4539;Timbedra;;;;;;;;;;;;;x
PROV4540;Bou Steile;;;;;;;;;;;;;x
PROV4541;Cercle de Nara;;;;;;;;;;;;;x
PROV4542;Toubakoro;;;;;;;;;;;;;x
PROV4543;Banamba;;;;;;;;;;;;;x
PROV4544;Kebila;;;;;;;;;;;;;x
PROV4545;Manankoro;;;;;;;;;;;;;x
PROV4546;Odienne;;;;;;;;;;;;;x
PROV4547;Seguela;;;;;;;;;;;;;x
PROV4548;Daloa;;;;;;;;;;;;;x
PROV4549;Koro;;;;;;;;;;;;;x
PROV4550;San Pedro;;;;;;;;;;;;;x
PROV4551;San Pedro;;;;;;;;;;;;;x
PROV4552;Lapcha;;;;;;;;;;;;;x
PROV4553;Kuoyka;;;;;;;;;;;;;x
PROV4554;Kharyyalakh;;;;;;;;;;;;;x
PROV4555;Yagtali;;;;;;;;;;;;;x
PROV4556;Kharbey;;;;;;;;;;;;;x
PROV4557;Permo-Karbon;;;;;;;;;;;;;x
PROV4558;Elkino;;;;;;;;;;;;;x
PROV4559;Ylikiiminki;;;;;;;;;;;;;x
PROV4560;Dorotea;;;;;;;;;;;;;x
PROV4561;Stornoway;;;;;;;;;;;;;x
PROV4562;Inveraray;;;;;;;;;;;;;x
PROV4563;Belfast;;;;;;;;;;;;;x
PROV4564;Omagh;;;;;;;;;;;;;x
PROV4565;Dublin;;;;;;;;;;;;;x
PROV4566;Gijon;;;;;;;;;;;;;x
PROV4567;Oviedo;;;;;;;;;;;;;x
PROV4568;Leon;;;;;;;;;;;;;x
PROV4569;Zamora;;;;;;;;;;;;;x
PROV4570;Salamanca;;;;;;;;;;;;;x
PROV4571;Trujillo;;;;;;;;;;;;;x
PROV4572;Don Benito;;;;;;;;;;;;;x
PROV4573;Seville;;;;;;;;;;;;;x
PROV4574;Cadiz;;;;;;;;;;;;;x
PROV4575;Gibraltar;;;;;;;;;;;;;x
PROV4576;Larache;;;;;;;;;;;;;x
PROV4577;Ksar-el-Kebir;;;;;;;;;;;;;x
PROV4578;Sidi Kacem;;;;;;;;;;;;;x
PROV4579;Khenifra;;;;;;;;;;;;;x
PROV4580;Tinerhir;;;;;;;;;;;;;x
PROV4581;Zagora;;;;;;;;;;;;;x
PROV4582;Tagounite;;;;;;;;;;;;;x
PROV4583;Tinfouchy;;;;;;;;;;;;;x
PROV4584;Mouilah;;;;;;;;;;;;;x
PROV4585;Aouassi el Biodh;;;;;;;;;;;;;x
PROV4586;Madboul;;;;;;;;;;;;;x
PROV4587;Peter Pond Lake;;;;;;;;;;;;;x
PROV4588;Kreb en Naga;;;;;;;;;;;;;x
PROV4589;Agaraktem;;;;;;;;;;;;;x
PROV4590;Talhayel el Boul;;;;;;;;;;;;;x
PROV4591;Moutentar;;;;;;;;;;;;;x
PROV4592;Tayaret Ouasa;;;;;;;;;;;;;x
PROV4593;Tayaret Gasraouat;;;;;;;;;;;;;x
PROV4594;Nema;;;;;;;;;;;;;x
PROV4595;Adel Bagrou;;;;;;;;;;;;;x
PROV4596;Sokolo;;;;;;;;;;;;;x
PROV4597;Niono;;;;;;;;;;;;;x
PROV4598;Segou;;;;;;;;;;;;;x
PROV4599;Konseguela;;;;;;;;;;;;;x
PROV4600;Sikasso;;;;;;;;;;;;;x
PROV4601;Zegoua;;;;;;;;;;;;;x
PROV4602;Korhogo;;;;;;;;;;;;;x
PROV4603;Mankono;;;;;;;;;;;;;x
PROV4604;Bouafle;;;;;;;;;;;;;x
PROV4605;Gagnoa;;;;;;;;;;;;;x
