#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
MANPOWER_DETAILS_IRO;Our current availible manpower is: §Y$AVAILIBLE$§W\nOut of a possible of: §Y$MAX$§W\nWe draft: §Y$DRAFT$§W each month\nOur army needs §Y$NEED$§W manpower to reinforce, and we currently use §Y$DAILYUSED$§W every day.;;;;;;;;;;;;;x;;
TECH_EFFECTS_TIP;These are the effects of the technology.;;;;;;;;;;;;;x;;
SERIAL_ADD;Add one unit to the series;;;;;;;;;;;;;x;;
SERIAL_REMOVE;Remove one unit from the series;;;;;;;;;;;;;x;;
SERIAL_UPGRADE;Upgrade series to the newest model;;;;;;;;;;;;;x;;
#FLEX_HEADER;§Y$NAME$§W: §Y$VALUE$§W;;;;;;;;;;;;;x;;
FLEX_HEADER;$NAME$: $VALUE$;;;;;;;;;;;;;x;;
PORT_BLOCKADE;This port is blockaded by:\n;;;;;;;;;;;;;x;;
NEARBY_PORT_BLOCKADE;Nearby port §G$PORT$§W is blockaded by: $COUNTRIES$\n;;;;;;;;;;;;;x;;
UNIT_BLOCKADE;This unit is blocking nearby port:  ;;;;;;;;;;;;;x;;
CONVOY_TRANSPORTS;Used/Leaseable transports:;;;;;;;;;;;;;x;;
WORLD_CONVOYS_AVAIL;$TRA$ transports available.;;;;;;;;;;;;;x;;
WORLD_CONVOY_INFO;Global cargo companies own a total of §G$TOTAL$§W ships, §Y$AVAIL$§W of which are available for use.\nCountries are using a total of §Y$USED$§W transports.\nYour usage is §Y$USAGE$§W ships.\nCalculated daily leasing cost is §Y$MONEY$§W.\n;;;;;;;;;;;;;x;;
REGION_TITLE_TEXT;Region of ;;;;;;;;;;;;;x;;
REGION_INDUSTRY;Industry ;;;;;;;;;;;;;x;;
agriculture_research_center;Agriculture Research Center;;;;;;;;;;;;;x;;
agriculture_research_center_desc;Facility that researches more efficient means of food production.;;;;;;;;;;;;;x;;
air_research_center;Air Research Center;;;;;;;;;;;;;x;;
air_research_center_desc;Facility for aerospace research and development.;;;;;;;;;;;;;x;;
aviation_industry;Aviation Industry;;;;;;;;;;;;;x;;
aviation_industry_desc;Provides goods for aerospace manufacturing.;;;;;;;;;;;;;x;;
cars_factory;Automobile Factory;;;;;;;;;;;;;x;;
cars_factory_desc;Manufactures cars, trucks, and other motor vehicles.;;;;;;;;;;;;;x;;
centrifuges;Centrifuges;;;;;;;;;;;;;x;;
centrifuges_desc;Generates refined uranium from your nation's uranium stockpile.;;;;;;;;;;;;;x;;
early_warning_site;Missile EW Site;;;;;;;;;;;;;x;;
early_warning_site_desc;This military building allows early detection of ballistic missiles launches.;;;;;;;;;;;;;x;;
financial_district;Financial District;;;;;;;;;;;;;x;;
financial_district_desc;Center for stock trading and other financial transactions.;;;;;;;;;;;;;x;;
heavy_industry;Heavy Industry;;;;;;;;;;;;;x;;
heavy_industry_desc;Provides heavy industrial goods.;;;;;;;;;;;;;x;;
high_tech;High Tech Industry;;;;;;;;;;;;;x;;
high_tech_desc;Provides goods required by high technology.;;;;;;;;;;;;;x;;
intelligence_center;Intelligence Center;;;;;;;;;;;;;x;;
intelligence_center_desc;Collects and analyzes intelligence gathered abroad.;;;;;;;;;;;;;x;;
land_research_center;Land Research Center;;;;;;;;;;;;;x;;
land_research_center_desc;Research and development factiliy for infantry arms.;;;;;;;;;;;;;x;;
light_industry;Light Industry;;;;;;;;;;;;;x;;
light_industry_desc;Provides light industrial goods.;;;;;;;;;;;;;x;;
military_academy;Military Academy;;;;;;;;;;;;;x;;
military_academy_desc;Trains the nation's officer corps.;;;;;;;;;;;;;x;;
military_base;Military Base;;;;;;;;;;;;;x;;
military_base_desc;Base of operations for the nation's armed forces.;;;;;;;;;;;;;x;;
military_goods;Military Goods;;;;;;;;;;;;;x;;
military_goods_desc;Provides military supplies for armed forces.;;;;;;;;;;;;;x;;
national_monument;National Monument;;;;;;;;;;;;;x;;
national_monument_desc;A glorious landmark to instill patriotic fervor.;;;;;;;;;;;;;x;;
naval_research_center;Naval Research Center;;;;;;;;;;;;;x;;
naval_research_center_desc;Research and development facility for naval weapons and ships.;;;;;;;;;;;;;x;;
naval_yards;Naval Yards;;;;;;;;;;;;;x;;
naval_yards_desc;Provides goods for shipbuilding.;;;;;;;;;;;;;x;;
nuclear_plant;Nuclear Plant;;;;;;;;;;;;;x;;
nuclear_plant_desc;Generates electricity from uranium.;;;;;;;;;;;;;x;;
nuclear_silo;Nuclear Missile Silo;;;;;;;;;;;;;x;;
nuclear_silo_desc;Military installation capable of launching nuclear ICBMs.;;;;;;;;;;;;;x;;
nuclear_test_site;Nuclear Test Site;;;;;;;;;;;;;x;;
nuclear_test_site_desc;Military site for conducting nuclear weapons tests.;;;;;;;;;;;;;x;;
powerplant;Powerplant;;;;;;;;;;;;;x;;
powerplant_desc;Generates electricity from natural resources.;;;;;;;;;;;;;x;;
plane_factory;Aircraft Factory;;;;;;;;;;;;;x;;
plane_factory_desc;Manufactures aircraft for the civilian and military markets.;;;;;;;;;;;;;x;;
refinery;Refinery;;;;;;;;;;;;;x;;
refinery_desc;Refines fuel from oil.;;;;;;;;;;;;;x;;
rocket_test_site;Rocket Test Site;;;;;;;;;;;;;x;;
rocket_test_site_desc;Military site for conducting rocket tests.;;;;;;;;;;;;;x;;
satellites_factory;Satellite Factory;;;;;;;;;;;;;x;;
satellites_factory_desc;Manufactures satellites for launch into orbit, and beyond.;;;;;;;;;;;;;x;;
sdi_site;ABM Site;;;;;;;;;;;;;x;;
sdi_site_desc;This military installation allows regional interception of ballistic missiles.;;;;;;;;;;;;;x;;
smallarms_factory;Small Arms Factory;;;;;;;;;;;;;x;;
smallarms_factory_desc;Manufactures small arms for the nation's armed forces.;;;;;;;;;;;;;x;;
spaceport;Spaceport;;;;;;;;;;;;;x;;
spaceport_desc;Satellite launch and research facility.;;;;;;;;;;;;;x;;
strategical_storage;Strategic Storage;;;;;;;;;;;;;x;;
strategical_storage_desc;Facilities for the long term strategic stockpiling of goods.;;;;;;;;;;;;;x;;
university;University;;;;;;;;;;;;;x;;
university_desc;An institution for training the nation's top minds.;;;;;;;;;;;;;x;;
FACTORYLEVEL;Factory Level;;;;;;;;;;;;;x;;
INPUTGOODS;Input Goods;;;;;;;;;;;;;x;;
OUTPUTGOODS;Output Goods;;;;;;;;;;;;;x;;
BUILD_COST2;Build Cost;;;;;;;;;;;;;x;;
INITIALCOSTS;Initial Cost;;;;;;;;;;;;;x;;
SPECBUILDINGALREADYGO;You cannot start new building construction while another building is under construction in this region.;;;;;;;;;;;;;x;;
SPECBUILDINGALREADYHAS;You cannot start new building construction while another building exist in this province.;;;;;;;;;;;;;x;;
DI_SORT;Sort by Development Index;;;;;;;;;;;;;x;;
POP_SORT;Sort by Population;;;;;;;;;;;;;x;;
WORKERS_SORT;Sort by Free Workers;;;;;;;;;;;;;x;;
WORKERS;Free Workers;;;;;;;;;;;;;x;;
GROUPS_SORT;Sort by Groups;;;;;;;;;;;;;x;;
GROUPS;Groups;;;;;;;;;;;;;x;;
PRICE_SORT;Sort by Price;;;;;;;;;;;;;x;;
PRICE;Price;;;;;;;;;;;;;x;;
EXPORT_SORT;Sort by Export;;;;;;;;;;;;;x;;
EXPORT;Export;;;;;;;;;;;;;x;;
WORKFORCE_NEEDED;Workforce needed:;;;;;;;;;;;;;x;;
ESTIMATED_DATE;Estimated completion date:;;;;;;;;;;;;;x;;
WORKFORCE;Workforce;;;;;;;;;;;;;x;;
EFFICIENCY;Efficiency;;;;;;;;;;;;;x;;
INPUT;Input;;;;;;;;;;;;;x;;
OUTPUT;Output;;;;;;;;;;;;;x;;
WORKFORCE_BUTTON;Workforce;;;;;;;;;;;;;x;;
CONSTRUCTION_COST;Construction cost;;;;;;;;;;;;;x;;
CONSTRUCTION_TIME;Completion date;;;;;;;;;;;;;x;;
EXPAND;Expand;;;;;;;;;;;;;x;;
SUSPEND;Suspend;;;;;;;;;;;;;x;;
DEMOLISH;Demolish;;;;;;;;;;;;;x;;
UNSUSPEND;Unsuspend;;;;;;;;;;;;;x;;
FUEL_LABEL;Fuel;;;;;;;;;;;;;x;;
SUPPLY_LABEL;Supplies;;;;;;;;;;;;;x;;
INCOME_LABEL;Income;;;;;;;;;;;;;x;;
EXPENSES_LABEL;Expenses;;;;;;;;;;;;;x;;
SHIPPING_LABEL;Shipping;;;;;;;;;;;;;x;;
AUTOMATE_AUTO;Auto Control;;;;;;;;;;;;;x;;
NET_INCOME;Total Net Income;;;;;;;;;;;;;x;;
TAX_PCT;Taxation Percentage;;;;;;;;;;;;;x;;
STOCK_LEVELS_LABEL;Stock Levels;;;;;;;;;;;;;x;;
INFO_LABEL;Information;;;;;;;;;;;;;x;;
EXPORT_VALUE;Export Value;;;;;;;;;;;;;x;;
SERVICE_VALUE;Gross Services Value;;;;;;;;;;;;;x;;
CONSUMPTION_VALUE;Gross Consumption Value;;;;;;;;;;;;;x;;
IMPORT_VALUE;Import Value;;;;;;;;;;;;;x;;
TAX_BASE;Rateable Value;;;;;;;;;;;;;x;;
GDP_VALUE;Gross Domestic Product;;;;;;;;;;;;;x;;
pension_cost;Pension Spending;;;;;;;;;;;;;x;;
school_cost;School Spending;;;;;;;;;;;;;x;;
ECO_BUILD_NEW_TIP;Build a new factory in the region of §Y$REGION$§W.;;;;;;;;;;;;;x;;
ECO_EXPAND_TIP;This factory is being expanded. When the expansion is complete, its capacity will increase and it will be able to produce more resources.;;;;;;;;;;;;;x;;
ECO_SUSPENDED_TIP;This factory is suspended, which means it's not producing anything at the moment.;;;;;;;;;;;;;x;;
ECO_UNDER_CONSTRUCTION_TIP_INSTANT;§Y$FACTORY$§W is under construction.;;;;;;;;;;;;;x;;
ECO_UNDER_CONSTRUCTION_TIP_DELAYED;Completion date: §Y$DATE$§W.;;;;;;;;;;;;;x;;
ECO_NOFACTORY_TIP;This location is free to build a new factory.;;;;;;;;;;;;;x;;
ECO_DI_SHORT;Development index of a region.;;;;;;;;;;;;;x;;
ECO_POP_SHORT;Region's current population.;;;;;;;;;;;;;x;;
ECO_WORKERS_SHORT;Region's current workers number.;;;;;;;;;;;;;x;;
SHOW_HIDE_SHORT;Use this button to show and hide a region's list of factories.;;;;;;;;;;;;;x;;
ECO_WORKFORCE_NUMBER;Number of workers needed to keep the factory operational.;;;;;;;;;;;;;x;;
ECO_COST_NUMBER;Cost of constructing the factory.;;;;;;;;;;;;;x;;
ECO_TIME_NUMBER;Estimated date when the factory will be completed.;;;;;;;;;;;;;x;;
EXPAND_FACTORY_INSTANT;Expand this factory to level ;;;;;;;;;;;;;x;;
EXPAND_FACTORY_DELAYED;This button increases the level of a factory.\nCost: §Y$COST$§W;;;;;;;;;;;;;x;;
SUSPEND_FACTORY_INSTANT;Suspend this factory.;;;;;;;;;;;;;x;;
SUSPEND_FACTORY_DELAYED;This button freezes the factory's entire production. Click again to reactivate the factory's normal operations.;;;;;;;;;;;;;x;;
DEMOLISH_FACTORY_INSTANT;Demolish this factory.;;;;;;;;;;;;;x;;
DEMOLISH_FACTORY_DELAYED;This button completely destroys the factory or stops its construction if in progress.;;;;;;;;;;;;;x;;
FACTORY_EFFICIENCY;The efficiency of a factory shows the proportion of input resources to the output.;;;;;;;;;;;;;x;;
FACTORY_WORKFORCE;Shows how much workforce a factory is currently using compared to the maximum factory workforce at the factory's present level.;;;;;;;;;;;;;x;;
FACTORY_WORKFORCE_CURRENT;Current factory workforce.;;;;;;;;;;;;;x;;
FACTORY_WORKFORCE_MAX;Maximum factory workforce at current level.;;;;;;;;;;;;;x;;
FACTORY_WORKFORCE_SLIDER;Current level of the factory. Levels that we are fully using, with the available workforce, are shown in §Ggreen§W. Partially used levels are in §Yyellow§W. Unused levels have an empty slot.\nWorkforce capacity: §G$WORKFORCE$§W Used workforce: §Y$USED$§W ($RATIO$);;;;;;;;;;;x;;;;
FACTORY_WORKFORCE_PLUPP_FULL;This level is fully used (§G$WORKFORCE$§W workers);;;;;;;;;;;;;x;;
FACTORY_WORKFORCE_PLUPP_PARTIAL;This level is partially used (§Y$WORKFORCE$§W workers);;;;;;;;;;;;;x;;
FACTORY_WORKFORCE_PLUPP_EMPTY;This level is not used.;;;;;;;;;;;;;x;;
ECO_EXPORT_VAL;Amount of a resource allocated to export.;;;;;;;;;;;;;x;;
ECO_IMPORT_VAL;Amount of a resource that we import to our country.;;;;;;;;;;;;;x;;
ECO_BASE_PRICE;Base price of a resource.;;;;;;;;;;;;;x;;
ECO_CURRENT_PRICE;Resource's current price. Modified from its base price by a number of factors on the global market.;;;;;;;;;;;;;x;;
resource_fish;Fish;;;;;;;;;;;;;x;;
resource_grain;Grain;;;;;;;;;;;;;x;;
resource_vegetables;Vegetables;;;;;;;;;;;;;x;;
resource_fruits;Fruit;;;;;;;;;;;;;x;;
resource_meat;Meat;;;;;;;;;;;;;x;;
resource_oil;Oil;;;;;;;;;;;;;x;;
resource_coal;Coal;;;;;;;;;;;;;x;;
resource_wood;Wood;;;;;;;;;;;;;x;;
resource_renewable_energy;Renewable Energy;;;;;;;;;;;;;x;;
resource_uranium;Uranium;;;;;;;;;;;;;x;;
resource_iron;Iron;;;;;;;;;;;;;x;;
resource_precious_metals;Precious Metals;;;;;;;;;;;;;x;;
resource_rare_metals;Rare Metals;;;;;;;;;;;;;x;;
resource_fuel;Fuel;;;;;;;;;;;;;x;;
resource_electricity;Electricity;;;;;;;;;;;;;x;;
resource_light_industry;Light Products;;;;;;;;;;;;;x;;
resource_heavy_industry;Heavy Components;;;;;;;;;;;;;x;;
resource_aviation_industry;Aerospace Parts;;;;;;;;;;;;;x;;
resource_naval_yards;Ship Parts;;;;;;;;;;;;;x;;
resource_high_tech;High Tech Parts;;;;;;;;;;;;;x;;
resource_military_goods;Military Goods;;;;;;;;;;;;;x;;
resource_centrifuges;Refined Uranium;;;;;;;;;;;;;x;;
resource_service;Services;;;;;;;;;;;;;x;;
resource_military_satellites;Military Satellites;;;;;;;;;;;;;x;;
NUM_REGIONS;Number of owned regions;;;;;;;;;;;;;x;;
NUM_PROVINCES;Number of owned provinces;;;;;;;;;;;;;x;;
NUM_ARMY;Number of armies;;;;;;;;;;;;;x;;
NUM_AIRFORCE;Number of air units;;;;;;;;;;;;;x;;
NUM_SHIP;Number of ships;;;;;;;;;;;;;x;;
RESTOOLBAR_TITLE;Resource edit - ;;;;;;;;;;;;;x;;
ECO_BUILDING_TIP_INSTANT;Profit: §Y$INCOME$§W\nProducing §Y$VALUE$§W §Y$RESOURCE$§W(s) each day.\nSold §Y$SALE$§W of production.;;;;;;;;;;;;;x;;
ECO_BUILDING_TIP_DETAILED;Base output: §Y$OUTPUT$§W\nWorkforce: §Y$WORKERS$§W\nLevel: §Y$LEVEL$§W\nCapacity: §Y$CAPACITY$§W\nFactory throughput: §Y$PROD_MOD$§W;;;;;;;;;;;;;x;;
GRANULARITY;Granularity;;;;;;;;;;;;;x;;
OLDESTAGE;Oldest age;;;;;;;;;;;;;x;;
AGEDISTRIBUTION;Distribution;;;;;;;;;;;;;x;;
ECO_INCOME;Gross Economy Value;;;;;;;;;;;;;x;;
REGION_INCOME_DRO;Region income is the total amount of regional services and economic income.;;;;;;;;;;;;;x;;
REGIONRANK;This region has the rank of incomes.;;;;;;;;;;;;;x;;
NEW_SPEC_BUILDING;Build new special building;;;;;;;;;;;;;x;;
ECO_FACTORY_INCOME;Income: $INCOME$;;;;;;;;;;;;;x;;
MONEY_TAX;Income from taxation;;;;;;;;;;;;;x;;
NO_INITIAL_RESOURCES_CONSTRUCTION;You don't have the resources to start this construction.;;;;;;;;;;;;;x;;
PRESTIGE_TRIGGER;Country prestige must be greater than or equal to §Y$VAL$§W.\n;;;;;;;;;;;;;x;;
PRESTIGE_EFFECT;Changes prestige by §Y$VAL$§W.\n;;;;;;;;;;;;;x;;
SELECT_GLOBAL;Global;;;;;;;;;;;;;x;;
SELECT_ECONOMY;Economy;;;;;;;;;;;;;x;;
SELECT_MILITARY;Military;;;;;;;;;;;;;x;;
SELECT_ALL;All;;;;;;;;;;;;;x;;
ARMY_UPKEEP_RES;Army expenses: ;;;;;;;;;;;;;x;;
SUPPLY_ROUTE_COST;Supply route costs: ;;;;;;;;;;;;;x;;
GUERRILLA_SUPPORT_COST;Guerrilla supports costs: ;;;;;;;;;;;;;x;;
CONVOY_LEASING_COST;Convoy leasing costs: ;;;;;;;;;;;;;x;;
RESOURCE_BASE_TIP;Base: §Y$VAL$§W;;;;;;;;;;;;;x;;
RGO_INPUT_I;§Y$NAME$§W\nProduces §Y$AMOUNT$§! each day\nPotential production: §Y$POTENTIAL$§!\nCurrent Workforce: §Y$CURRWORK$§!\nMax Workforce: §Y$MAXWORK$§!\nServices Production: §Y$SERVICE$§!\nServices Income: §Y$INCOME$§!;;;;;;;;;;;;;x;;
RESOURCE_INPUT_I;§Y$NAME$§W\nConsumes §Y$AMOUNT$§W each day\n(Input x Capacity x Throughput x Modifier);;;;;;;;;;;;;x;;
RESOURCE_INPUT_D;Base input: §Y$BASE$§W\nCapacity: §Y$CAPACITY$§W\nResource Availability: $RESAVAIL$§W\nThroughput: §Y$THROUGHPUT$§W\n   Productivity: §Y$PRODUCTIVITY$§W\n   Workforce: $WORKFORCE$§W\n   Overall Availability: §Y$TOTALRESAVAIL$§W\nModifier: §Y$MODIFIER$§W;;;;;;;;;;;;;x;;
RESOURCE_OUTPUT_I;§Y$NAME$§W\nProduces §Y$AMOUNT$§W each day\n(Output x Capacity x Efficiency x Throughput x Modifiers);;;;;;;;;;;;;x;;
RESOURCE_OUTPUT_D;Base output: §Y$BASE$§W\nCapacity: §Y$CAPACITY$§W\nEfficiency: §Y$EFFICIENCY$§W\n$MODIFIERS$Throughput: §Y$THROUGHPUT$§W\n   Productivity: §Y$PRODUCTIVITY$§W\n   Workforce: §Y$WORKFORCE$§W\n   Availability: §Y$RESAVAIL$§W;;;;;;;;;;;;;x;;
RESOURCE_EFFICIENCY;Efficiency: §Y$EFFICIENCY$§W;;;;;;;;;;;;;x;;
RESOURCE_TOTAL;Total: §Y$TOTAL$§W;;;;;;;;;;;;;x;;
SPY_REQUIRED_COST;You lack §R$SPY$§W spy point(s) to buy this card.;;;;;;;;;;;;;x;;
ECO_BUILD_TECH_ENABLE;You need to research §Y$TECH$§W in order to construct this building.;;;;;;;;;;;;;x;;
ECO_BUILD_TECH_REQ;Technology: §Y$TECH$§W available;;;;;;;;;;;;;x;;
SILO_LOADING;Reloading silo in §Y$HOURS$§W hour(s).;;;;;;;;;;;;;x;;
SILO_EMPTY;Silos are not fully loaded. Check your uranium resources for reloading.;;;;;;;;;;;;;x;;
TECH_MAX_LEVEL;This technology has $VAL$ levels.;;;;;;;;;;;;;x;;
STAT_TEMPLATE_TOP_MIL;Largest Military;;;;;;;;;;;;;x;;
STAT_TEMPLATE_TOP_ECO;Largest Economy;;;;;;;;;;;;;x;;
STAT_TEMPLATE_TOP_GEN;Largest Overall;;;;;;;;;;;;;x;;
STAT_TEMPLATE_NEIGH;Neighbors;;;;;;;;;;;;;x;;
History;History;;;;;;;;;;;;;x;;
STAT_TEMPLATE_CLEAR;Clear;;;;;;;;;;;;;x;;
RES_POOL_PAID;Cost of strategic pools:;;;;;;;;;;;;;x;;
SATELLITES_SHORT;Satellites;;;;;;;;;;;;;x;;
SLIDER_EXPENSE;Distributed Expenses;;;;;;;;;;;;;x;;
AUTO_EXPENSE;Other Expenses;;;;;;;;;;;;;x;;
PUBLIC_SECTOR;Public sector income;;;;;;;;;;;;;x;;
PRIVATE_SECTOR;Private sector income;;;;;;;;;;;;;x;;
PUBLIC_SECTOR_EFFECT;Sets public sector to ;;;;;;;;;;;;;x;;
COUNTRY_MAX_SELECT;Only §Y$ITEMS$§W countries allowed to select;;;;;;;;;;;;;x;;
LINECHART_NEXT;View next $ITEMS$ items;;;;;;;;;;;;;x;;
LINECHART_PREV;View previous $ITEMS$ items;;;;;;;;;;;;;x;;
EXPENSES_COST;Slider expenses: ;;;;;;;;;;;;;x;;
SLIDER_AI_1_1;Building upgrade;;;;;;;;;;;;;x;;
SLIDER_AI_1_2;Factory construction;;;;;;;;;;;;;x;;
SLIDER_AI_1_3;Special buildings;;;;;;;;;;;;;x;;
SLIDER_AI_1_4;Nuclear buildup;;;;;;;;;;;;;x;;
ECONOMY_AI_OFF;Economy AI is off.;;;;;;;;;;;;;x;;
FACTORY_SUSPENDED;Suspended;;;;;;;;;;;;;x;;
FACTORY_PROFIT;Profit;;;;;;;;;;;;;x;;
FACTORY_LOSS;Deficit;;;;;;;;;;;;;x;;
AUTOMATE_MILITARY_BUILDUP;Military Buildup;;;;;;;;;;;;;x;;
AUTOMATE_MILITARY_MAINTAIN;Maintain Military;;;;;;;;;;;;;x;;
AUTOMATE_INFRA;Infrastructure;;;;;;;;;;;;;x;;
AUTOMATE_RESEARCH;Research Rush;;;;;;;;;;;;;x;;
AUTOMATE_MANUAL_SETTING;Manual;;;;;;;;;;;;;x;;
FOR_HUMAN_PLAYER;Only for human player;;;;;;;;;;;;;x;;
FOR_AI_PLAYER;Only for computer player;;;;;;;;;;;;;x;;
NEW_DIPLO_VOTING;The vote §Y$NAME$§W in §Y$ORGANISATION$§W was started by §Y$INITIATOR$§W and is targeted at §Y$ACTOR$§W. $DESC$.;;;;;;;;;;;;;x;;
VOTING_ACTIVE;Organization is currently voting on a decision.;;;;;;;;;;;;;x;;
VOTING_INACTIVE;You can start new vote.;;;;;;;;;;;;;x;;
SUPPLYFUEL_NEEDS;Estimated needed: ;;;;;;;;;;;;;x;;
SUPPLYFUEL_HOME;Home produced: ;;;;;;;;;;;;;x;;
SUPPLYFUEL_FROMMARKET;Bought from market: ;;;;;;;;;;;;;x;;
SUPPLYFUEL_TOSTOCK;Total needed to fill the stock: ;;;;;;;;;;;;;x;;
SUPPLYFUEL_MARKET;Market stock/price:;;;;;;;;;;;;;x;;
ITEM_ADD_GOAL;Add Goal;;;;;;;;;;;;;x;;
CANCEL_GOAL_DESC;Do you want to cancel the goal §Y$NAME$§W and its §Y$NUM$§W ongoing component(s)?;;;;;;;;;;;;;x;;
CANCEL_GOAL_TITLE;Cancel goal;;;;;;;;;;;;;x;;
PREREQ_TECH;Prerequirements of goal:\n;;;;;;;;;;;;;x;;
PREREQ_UNACCESS;Technologies unaccessible:\n;;;;;;;;;;;;;x;;
PREREQ_AVAIL;Technologies available to research:\n;;;;;;;;;;;;;x;;
PREREQ_DONE;Technologies done:\n;;;;;;;;;;;;;x;;
MINISTER_MESSAGE_ENTRY;Our Head Council;;;;;;;;;;;;;x;;
TOTAL_GOAL_TIME;Estimated total time: ;;;;;;;;;;;;;x;;
TOTAL_GOAL_COST;Estimated total cost: ;;;;;;;;;;;;;x;;
AI_CHANGE_SPEED;Change speed;;;;;;;;;;;;;x;;
AI_NONGOALS;Start Non-goal techs;;;;;;;;;;;;;x;;
AI_FUND_PCT;Max Funds: ;;;;;;;;;;;;;x;;
START_GOAL;Press start research goal: §Y$NAME$§W. §G$STEP$§W prerequisites will start inmediately, §R$TSTEP$§W step(s) required in total to reach this goal.;;;;;;;;;;;;;x;;
GOAL_NOMONEY;No money allocated for goals in AI options.;;;;;;;;;;;;;x;;
GOAL_PARENT;This tech is being researched by AI toward reaching goal §Y$NAME$§W;;;;;;;;;;;;;x;;
TECH_LEAD_MODEL;  Historical model: §G$NAME$§W;;;;;;;;;;;;;x;;
GOAL_IMPOSSIBLE;Goal can't be reached.\n;;;;;;;;;;;;;x;;
GOAL_REACHED;Goal has already reached.\n;;;;;;;;;;;;;x;;
THEATRE_NEED;Theatre Need;;;;;;;;;;;;;x;;
DAILY_INCOME;DAILY INCOME;;;;;;;;;;;;;x;;
FIXED_EXPENSES;FIXED EXPENSES;;;;;;;;;;;;;x;;
BUDGET;BUDGET AVAILABLE;;;;;;;;;;;;;x;;
MILITARY_UPKEEP;Military Upkeep;;;;;;;;;;;;;x;;
RESEARCH;Research;;;;;;;;;;;;;x;;
SUBSIDIZE;Subsidize;Military Upkeep;;;;;;;;;;;;x;;
NAT_STOCKPILE_LABEL;National Stockpile;;;;;;;;;;;;;x;;
NAT_STOCKPILE;National Stockpile: ;;;;;;;;;;;;;x;;
FIXED_EXPENSES_TT;Fixed Expenses;;;;;;;;;;;;;x;;
AI_FACTORIES;Factories;;;;;;;;;;;;;x;;
AI_SPECIALBUILDINGS;Special Buldings;;;;;;;;;;;;;x;;
AI_NUCLEAR;Nuclear Buildup;;;;;;;;;;;;;x;;
AI_UPGRADE;Upgrade;;;;;;;;;;;;;x;;
AI_INSTALLATIONS;Installations;;;;;;;;;;;;;x;;
AI_UNITS;Units;;;;;;;;;;;;;x;;
ECO_EXTRA_BTN;Activate this button to allow your nation’s economic department to use §G$PCT$%§W of your cash reserves to enhance the daily budget. Keeping this measure active for a longer period of time will deplete your cash reserves, so use with care.\nSetting is currently;;;;;;;;;;;;;x;;
ECO_ENABLE_NUKE;Auto buy nukes produced by nuclear industry: ;;;;;;;;;;;;;x;;
ECO_ENABLE_SAT;Auto buy satellites produced by space industry: ;;;;;;;;;;;;;x;;
PROD_TAX_PCT;Tax on goods production;;;;;;;;;;;;;x;;
PROD_LAND_DIVS;Land divisions;;;;;;;;;;;;;x;;
PROD_NAVAL_DIVS;Naval divisions;;;;;;;;;;;;;x;;
PROD_AIR_DIVS;Air divisions;;;;;;;;;;;;;x;;
PROD_NUKE_DIVS;ICBMs;;;;;;;;;;;;;x;;
PROD_NUKE_SHIPS;SLBMs;;;;;;;;;;;;;x;;
PROD_NUKE_AIR;Stategic bombers;;;;;;;;;;;;;x;;
SERVICES_TAX_PCT;Tax on services sector;;;;;;;;;;;;;x;;
CONS_TAX_PCT;Tax on consumption;;;;;;;;;;;;;x;;
AAWEAPON;AA Weapon;;;;;;;;;;;;;x;;
ASWEAPON;AS/ASW Weapon;;;;;;;;;;;;;x;;
AIOPTION_FACTORIES;Allocate money with investment slider for §Yfactory construction§W.\nSetting is currently ;;;;;;;;;;;;;x;;
AIOPTION_SPECIAL;Allocate money with investment slider for §Yspecial building construction§W.\nSetting is currently ;;;;;;;;;;;;;x;;
AIOPTION_INFRA;Allocating extra money from infra slider for §Yupgrading infrastructure§W.\nSetting is currently ;;;;;;;;;;;;;x;;
AIOPTION_NUCLEAR;Allocate money with investment slider for §Ynuclear buildup§W.\nSetting is currently;;;;;;;;;;;;;x;;
AIOPTION_UPGRADE;Allocate money with investment slider for §Yfactory upgrade§W.\nSetting is currently ;;;;;;;;;;;;;x;;
AIOPTION_UNIT;Allocating extra money from production slider for §Yunit construction§W.\nSetting is currently ;;;;;;;;;;;;;x;;
AIOPTION_INSTALLATION;Allocating extra money from production slider for §Yinstallation construction§W.\nSetting is currently ;;;;;;;;;;;;;x;;
ESTIMATION_TARGET;Suggested target is ;;;;;;;;;;;;;x;;
ESTIMATED_ARRIVAL;Estimated arrival date: ;;;;;;;;;;;;;x;;
AVERAGE_SPEED;Average speed: ;;;;;;;;;;;;;x;;
TARGET_SPEED;Speed in target province: ;;;;;;;;;;;;;x;;
AI_MILITARIST;Militarist;;;;;;;;;;;;;x;;
AI_INDUSTRIALIST;Industrialist;;;;;;;;;;;;;x;;
AI_DIPLOMAT;Diplomat;;;;;;;;;;;;;x;;
AI_BALANCED;Balanced;;;;;;;;;;;;;x;;
industry_research_center;Industrial Research Center;;;;;;;;;;;;;x;;
AI_AIPERSONALITY;AI personality;;;;;;;;;;;;;x;;
AI_AIPOOL;AI money pool;;;;;;;;;;;;;x;;
drifting_speed_allies;Drifting speed towards NATO;;;;;;;;;;;;;x;;
drifting_speed_comintern;Drifting speed towards Warsaw Pact;;;;;;;;;;;;;x;;
