#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
SOV_ballistic_missile_submarine_3_nat;Project 667B Murena-class;;;;;;;;;;;;;x   # 1972;;
SOV_ballistic_missile_submarine_4_nat;Project 667BD Murena-M-class;;;;;;;;;;;;;x   # 1975;;
SOV_ballistic_missile_submarine_5_nat;Project 667BDR Kalmar-class;;;;;;;;;;;;;x   # 1976;;
SOV_ballistic_missile_submarine_7_nat;Project 667BDRM Delfin-class;;;;;;;;;;;;;x   # 1985;;
SOV_ballistic_missile_submarine_8_nat;Project 941 Akula-class;;;;;;;;;;;;;x   # 1983;;
SOV_ballistic_missile_submarine_9_nat;Project 955 Borei-class;;;;;;;;;;;;;x   # 20xx;;
SOV_missile_boat_0_nat;Project 183R Komar-class;;;;;;;;;;;;;x   # 1952;;
SOV_missile_boat_1_nat;Project 205 Tsunami-class;;;;;;;;;;;;;x   # 1960;;
SOV_missile_boat_2_nat;Project 1234 Ovod-class;;;;;;;;;;;;;x   # 1970;;
SOV_missile_boat_3_nat;Project 1124 Albatros-class;;;;;;;;;;;;;x   # 1974;;
SOV_missile_boat_4_nat;Project 1124P Albatros-class;;;;;;;;;;;;;x   # 1975;;
SOV_missile_boat_5_nat;Project 1124M Albatros-class;;;;;;;;;;;;;x   # 1977;;
SOV_missile_boat_6_nat;Project 206MR Vikhr-class;;;;;;;;;;;;;x   # 1977;;
SOV_missile_boat_7_nat;Project 1234E Ovod-E-class;;;;;;;;;;;;;x   # 1976;;
SOV_missile_boat_8_nat;Project 1234.1 Ovod-I-class;;;;;;;;;;;;;x   # 1979;;
SOV_missile_boat_9_nat;Project 1241.1 Molniya-I-class;;;;;;;;;;;;;x   # 1979;;
SOV_missile_boat_10_nat;Project 1241.7 Molniya-I-class;;;;;;;;;;;;;x   # 1981;;
SOV_missile_boat_11_nat;Project 1124ME Albatros-class;;;;;;;;;;;;;x   # 1986;;
SOV_missile_frigate_0_nat;Project 42;;;;;;;;;;;;;x   # 1951;;
SOV_missile_frigate_1_nat;Project 50 Gornostay-class;;;;;;;;;;;;;x   # 1954;;
SOV_missile_frigate_2_nat;Project 159;;;;;;;;;;;;;x   # 1961;;
SOV_missile_frigate_3_nat;Project 35;;;;;;;;;;;;;x   # 1964;;
SOV_missile_frigate_4_nat;Project 159AV;;;;;;;;;;;;;x   # 1966;;
SOV_missile_frigate_5_nat;Project 1135 Burevestnik-class;;;;;;;;;;;;;x   # 1970;;
SOV_missile_frigate_6_nat;Project 1135M Burevestnik-M-class;;;;;;;;;;;;;x   # 1975;;
SOV_missile_frigate_7_nat;Project 1159 Yaguar-class;;;;;;;;;;;;;x   # 1978;;
SOV_missile_frigate_8_nat;Project 1135.1 Nerei-class;;;;;;;;;;;;;x   # 1983;;
SOV_missile_frigate_9_nat;Project 1135.2 Burevestnik-class;;;;;;;;;;;;;x   # 1990;;
SOV_missile_frigate_10_nat;Project 1154 Yastreb-class;;;;;;;;;;;;;x   # 1988/93;;
SOV_destroyer_0_nat;Project 7 Gnevny-class;;;;;;;;;;;;;x   # 1944;;
SOV_destroyer_1_nat;Project 30Bis Skoriy-class;;;;;;;;;;;;;x   # 1949;;
SOV_missile_destroyer_0_nat;Project 56 Spokoiny-class;;;;;;;;;;;;;x   # 1956;;
SOV_missile_destroyer_1_nat;Project 56M-class;;;;;;;;;;;;;x   # 1958;;
SOV_missile_destroyer_2_nat;Project 56U-class;;;;;;;;;;;;;x   # 1960;;
SOV_missile_destroyer_3_nat;Project 57bis-class;;;;;;;;;;;;;x   # 1960;;
SOV_missile_destroyer_4_nat;Project 57A-class;;;;;;;;;;;;;x   # 1961;;
SOV_missile_destroyer_5_nat;Project 61-class;;;;;;;;;;;;;x   # 1964;;
SOV_missile_destroyer_7_nat;Project 61M-class;;;;;;;;;;;;;x   # 1979;;
SOV_missile_destroyer_8_nat;Project 956 Sarych-class;;;;;;;;;;;;;x   # 1980;;
SOV_missile_destroyer_9_nat;Project 1155 Fregat-class;;;;;;;;;;;;;x   # 1981;;
SOV_missile_destroyer_10_nat;Project 956E Sarych-E-class;;;;;;;;;;;;;x   # 1992;;
SOV_missile_destroyer_11_nat;Project 1155.1 Fregat-M-class;;;;;;;;;;;;;x   # 1999;;
SOV_cruiser_0_nat;Project 26 Kirov-class;;;;;;;;;;;;;x   # 1938;;
SOV_cruiser_1_nat;Project 68 Chapayev-class;;;;;;;;;;;;;x   # 1950;;
SOV_cruiser_2_nat;Project 68bis Sverdlov-class;;;;;;;;;;;;;x   # 1952;;
SOV_missile_cruiser_1_nat;Project 58 Grozny-class;;;;;;;;;;;;;x   # 1962;;
SOV_missile_cruiser_2_nat;Project 1134 Berkut-class;;;;;;;;;;;;;x   # 1967;;
SOV_missile_cruiser_3_nat;Project 1134A Berkut-A-class;;;;;;;;;;;;;x   # 1968;;
SOV_missile_cruiser_4_nat;Project 1134B Berkut-B-class;;;;;;;;;;;;;x   # 1969;;
SOV_missile_cruiser_6_nat;Project 1164 Atlant-class;;;;;;;;;;;;;x   # 1982;;
SOV_nuclear_battlecruiser_0_nat;Project 1144.1 Orlan-class;;;;;;;;;;;;;x   # 1981;;
SOV_nuclear_battlecruiser_2_nat;Project 1144.2 Orlan-class;;;;;;;;;;;;;x   # 1988
SOV_helicopter_carrier_1_nat;Project 1123 Kondor-class;;;;;;;;;;;;;x   # 1967;;
SOV_helicopter_carrier_2_nat;Project 1143.0 Krechyet-class;;;;;;;;;;;;;x   # 1975;;
SOV_helicopter_carrier_3_nat;Project 1143.4 Krechyet-class;;;;;;;;;;;;;x   # 1988;;
SOV_carrier_6_nat;Project 1143.5 Kreml-class;;;;;;;;;;;;;x   # 1990;;
SOV_supercarrier_4_nat;Project 1143.7 Ulyanovsk-class;;;;;;;;;;;;;x   # 1993;;
